ticker,date,side,spot,final,vol_rank_pct,credit,max_loss,pnl_per_spread
TSLA,2023-02-21,bull_put,197.35,187.7,0.706,181.7,318.3,181.7
TSLA,2023-11-14,bear_call,237.42,244.19,0.786,150.22,349.78,150.22
TSLA,2023-11-15,bull_put,242.9,239.79,0.726,165.34,334.66,165.34
TSLA,2024-02-07,bear_call,187.61,197.34,0.718,133.18,366.82,98.23
TSLA,2024-02-08,bear_call,189.59,191.97,0.758,134.16,365.84,134.16
TSLA,2024-02-09,bear_call,193.53,199.39,0.782,135.46,364.54,135.46
TSLA,2024-02-12,bear_call,188.16,199.79,0.766,134.07,365.93,-88.13
TSLA,2024-02-13,bear_call,184.06,202.09,0.774,133.68,366.32,-366.32
TSLA,2024-02-14,bear_call,188.64,201.81,0.798,135.75,364.25,-238.05
TSLA,2024-02-15,bear_call,200.49,202.6,0.917,143.25,356.75,143.25
TSLA,2024-02-16,bear_call,199.99,188.21,0.917,143.18,356.82,143.18
TSLA,2024-02-20,bear_call,193.74,180.83,0.94,143.54,356.46,143.54
TSLA,2024-02-21,bear_call,194.77,176.48,0.944,143.7,356.3,143.7
TSLA,2024-02-22,bear_call,197.34,178.58,0.948,144.25,355.75,144.25
TSLA,2024-04-24,bear_call,162.11,174.69,0.988,142.2,357.8,-305.25
TSLA,2024-04-25,bear_call,170.29,171.98,1.0,146.14,353.86,146.14
TSLA,2024-04-26,bear_call,168.23,168.49,0.996,145.54,354.46,145.54
TSLA,2024-04-29,bull_put,194.08,171.92,1.0,188.88,311.12,-311.12
TSLA,2024-04-30,bull_put,183.34,177.64,1.0,188.63,311.37,188.63
TSLA,2024-05-01,bull_put,180.01,174.07,1.0,188.71,311.29,188.71
TSLA,2024-05-02,bull_put,180.12,174.86,0.996,188.58,311.42,188.58
TSLA,2024-05-03,bull_put,181.25,177.54,0.984,187.19,312.81,187.19
TSLA,2024-05-06,bull_put,184.89,175.0,0.98,185.98,314.02,121.43
TSLA,2024-05-07,bull_put,177.9,186.63,0.98,186.41,313.59,186.41
TSLA,2024-05-08,bull_put,174.69,180.19,0.976,185.58,314.42,185.58
TSLA,2024-05-09,bear_call,171.98,173.79,0.972,160.27,339.73,160.27
TSLA,2024-05-10,bear_call,168.49,179.25,0.972,159.97,340.03,-73.58
TSLA,2024-05-13,bull_put,171.92,176.74,0.96,182.29,317.71,182.29
TSLA,2024-05-14,bull_put,177.64,176.26,0.956,182.62,317.38,182.62
